Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
24118642269,"(Đời Mới Nhất) Quạt năng lượng mặt trời Solar Fan 118F,quạt sạc tích điện chân quỳ 12 mức gió hiển thị PIN,động cơ bền","699,0k",2k+,JUDY_Home Appliance,9%,₫62.910,https://shopee.vn/product/175116792/24118642269,https://s.shopee.vn/1BK5YY7Nmb
24466252120,Combo 20 chân gà rút xương tê cay - ĂN CÙNG BÀ TUYẾT M28,"198,5k",30k+,Ăn Cùng Bà Tuyết VN,14%,₫27.790,https://shopee.vn/product/537537695/24466252120,https://s.shopee.vn/gNoxd9HnW
43666882566,"Tắc gừng mật ong đường phèn, nhà làm thơm ngon an toàn sức khỏe (1kg)","115,0k",5k+,Đặc sản Mé Sông,24%,₫27.600,https://shopee.vn/product/109677028/43666882566,https://s.shopee.vn/qhF9w8eSZ
22267387568,Muối Tôm Như Ý Chính Hãng - Bánh Tráng Gió,"150,0k",133,Bánh Tráng Gió,39%,₫58.500,https://shopee.vn/product/157583966/22267387568,https://s.shopee.vn/LkyZ1AYTU
